crop,region,rainfall_mm,avg_temp_c,N_kg_ha,P_kg_ha,K_kg_ha,soil_ph,area_acres,yield_quintal_per_acre
Rice,West Bengal,744.0,25.5,122.2,32.6,57.7,6.55,7.33,17.75
Rice,Bihar,552.2,26.9,71.8,85.1,58.9,6.7,7.28,13.9
Wheat,Punjab,734.2,28.6,170.1,26.0,51.0,5.74,7.9,12.68
Rice,Maharashtra,1508.7,27.9,153.9,86.5,62.8,5.73,3.01,19.75
Maize,Uttar Pradesh,224.2,24.1,45.6,24.3,44.8,5.17,5.82,12.84
Rice,Madhya Pradesh,1923.7,18.2,114.1,42.7,25.5,5.84,8.5,15.67
Maize,Madhya Pradesh,717.2,23.7,56.9,45.5,54.1,5.45,4.54,17.14
Rice,West Bengal,1590.0,37.2,136.0,73.0,24.6,5.91,6.09,20.7
Maize,Uttar Pradesh,748.2,25.3,72.1,65.5,64.0,6.02,8.81,18.27
Wheat,Uttar Pradesh,265.2,25.2,63.9,40.7,31.2,6.53,7.17,12.78
Wheat,Maharashtra,398.8,28.5,111.8,57.8,50.8,6.92,1.16,19.4
Maize,West Bengal,1082.4,21.5,53.9,82.1,50.3,5.4,3.55,15.7
Wheat,Punjab,690.2,24.3,134.5,51.1,46.6,6.9,2.77,19.38
Wheat,Bihar,908.8,14.1,175.8,81.4,64.3,7.51,8.64,12.74
Maize,Punjab,591.5,17.7,53.2,50.2,60.9,7.52,5.85,15.49
Rice,Bihar,412.5,38.2,134.4,70.1,53.8,5.81,5.9,20.57
Rice,Bihar,463.4,38.6,54.4,41.9,42.8,4.78,1.25,12.96
Maize,Punjab,606.7,28.9,170.4,58.4,27.4,5.07,9.39,18.22
Maize,Uttar Pradesh,897.5,29.4,138.9,45.8,37.9,5.98,8.26,14.22
Maize,Uttar Pradesh,856.3,28.9,98.8,73.3,38.7,5.68,6.89,16.75
Wheat,Punjab,250.6,23.2,123.0,58.2,38.7,7.19,8.59,16.95
Wheat,Punjab,555.3,12.2,88.8,90.0,54.5,7.5,1.78,16.42
Wheat,West Bengal,854.8,28.9,160.6,36.3,41.1,7.42,9.77,11.81
Maize,Bihar,560.5,30.6,110.1,35.0,27.1,6.09,0.87,16.77
Maize,West Bengal,524.6,21.0,71.9,59.1,20.0,7.4,1.16,17.85
Wheat,West Bengal,434.5,22.5,89.9,75.7,22.8,5.78,0.87,15.35
Rice,Uttar Pradesh,1155.4,26.5,93.0,29.5,29.1,4.89,4.56,20.44
Maize,Punjab,1114.0,17.4,85.9,62.8,62.2,5.0,8.04,13.03
Rice,Bihar,1845.9,29.2,72.4,73.9,42.3,4.73,3.51,15.97
Wheat,Madhya Pradesh,168.9,15.1,93.5,56.0,31.4,7.14,2.65,15.98
Rice,Punjab,1441.8,34.7,157.6,49.9,42.0,6.11,3.46,22.55
Maize,West Bengal,874.8,28.6,149.7,87.2,16.0,5.5,2.68,16.16
Rice,West Bengal,452.4,29.0,70.5,49.0,57.5,5.25,1.05,15.9
Rice,Madhya Pradesh,1053.2,21.3,118.5,71.8,32.1,5.08,2.65,21.69
Rice,Madhya Pradesh,2012.7,27.5,164.4,90.1,58.6,5.09,8.29,13.4
Wheat,Bihar,330.6,18.9,123.2,59.8,23.0,5.43,2.61,16.53
Rice,Bihar,768.3,38.6,115.9,39.6,15.5,6.69,2.18,16.64
Maize,Punjab,462.9,18.6,62.3,41.7,24.5,7.36,0.69,13.09
Rice,West Bengal,568.2,37.3,165.1,39.7,24.3,5.13,5.46,12.35
Wheat,Uttar Pradesh,362.5,22.7,180.2,40.6,62.4,6.14,7.19,14.92
Rice,Bihar,842.3,28.5,147.6,78.7,42.6,5.63,3.07,18.3
Rice,Uttar Pradesh,1085.3,32.2,142.2,56.1,60.3,5.71,6.65,22.3
Maize,Madhya Pradesh,378.3,15.9,41.1,81.5,37.1,4.81,9.42,13.3
Maize,Punjab,665.4,25.6,117.6,99.0,15.8,5.15,4.13,19.2
Maize,Madhya Pradesh,629.2,16.1,167.0,31.3,63.8,4.77,7.43,13.81
Rice,Bihar,418.7,42.4,57.6,47.2,58.9,4.94,5.09,11.5
Maize,West Bengal,295.2,19.1,108.9,42.8,47.6,5.79,7.99,15.79
Maize,Bihar,836.7,25.9,73.7,86.8,58.5,6.19,3.28,16.6
Maize,Maharashtra,1010.1,33.4,176.5,92.3,35.1,5.5,3.54,12.7
Wheat,Madhya Pradesh,305.5,25.3,57.9,39.9,59.8,7.43,9.33,12.99
Rice,Uttar Pradesh,1304.2,22.4,180.4,78.1,51.8,5.84,1.95,19.99
Maize,Maharashtra,1006.0,27.7,113.8,48.0,60.8,7.36,4.29,15.32
Maize,Maharashtra,1114.7,19.3,145.4,58.6,33.2,6.89,9.58,16.29
Wheat,Maharashtra,370.6,30.1,82.9,38.1,63.6,5.37,2.03,11.47
Maize,Maharashtra,960.1,33.4,116.8,53.9,54.4,5.26,3.55,13.59
Maize,Uttar Pradesh,223.8,28.8,123.0,35.0,27.3,6.52,5.42,14.26
Maize,Bihar,646.4,33.0,160.4,95.3,52.9,6.5,5.56,14.06
Maize,Uttar Pradesh,703.2,26.3,133.2,91.1,47.6,5.02,9.45,21.05
Maize,West Bengal,897.8,26.2,113.3,85.6,15.6,5.62,6.46,15.85
Rice,Bihar,1898.7,34.6,85.8,84.3,29.2,5.36,8.92,15.9
Maize,Maharashtra,752.7,23.0,81.8,29.2,62.3,5.94,5.21,17.16
Rice,Madhya Pradesh,408.1,39.9,127.9,31.6,53.4,6.79,2.92,15.22
Rice,Maharashtra,1608.5,24.9,117.1,57.4,26.6,5.54,9.45,21.83
Wheat,West Bengal,879.3,13.9,72.0,82.8,35.4,6.27,7.67,13.05
Rice,Punjab,723.2,40.7,148.3,37.1,21.7,5.46,4.28,13.21
Wheat,Bihar,544.2,30.0,92.0,22.9,52.8,6.93,8.36,15.62
Maize,Bihar,973.3,22.4,131.3,68.2,58.2,5.15,1.43,15.25
Wheat,Punjab,358.4,18.7,113.9,52.5,58.8,7.97,3.51,18.15
Rice,Bihar,1148.0,25.3,165.5,22.6,46.3,6.92,9.78,19.88
Wheat,Madhya Pradesh,350.5,30.2,180.9,77.6,16.8,7.4,2.2,11.89
Wheat,Punjab,780.0,30.9,160.5,64.9,21.3,5.62,5.0,11.41
Wheat,Bihar,293.5,30.6,176.4,50.9,31.8,7.24,8.37,11.82
Wheat,Punjab,810.9,24.9,65.2,89.2,62.7,5.81,6.65,11.83
Wheat,Madhya Pradesh,405.3,17.6,81.0,78.0,16.3,6.23,7.26,16.07
Rice,Punjab,1662.9,23.7,157.8,58.8,52.8,5.84,5.24,20.19
Rice,Madhya Pradesh,1491.1,32.8,68.6,69.7,48.5,4.82,8.87,21.41
Maize,Bihar,1046.0,32.9,131.0,38.8,32.8,5.6,7.96,13.92
Wheat,Bihar,677.9,16.8,52.4,54.8,18.7,6.72,7.4,13.21
Wheat,Bihar,278.7,24.9,169.4,74.2,53.7,7.81,7.88,12.45
Rice,Uttar Pradesh,579.9,30.7,67.3,65.0,23.7,4.98,9.71,14.3
Maize,Bihar,963.0,31.2,170.9,83.6,40.9,7.51,2.49,13.07
Maize,Punjab,731.1,20.8,127.9,67.6,54.7,6.65,5.22,21.54
Wheat,Uttar Pradesh,291.4,16.8,180.6,54.2,30.2,7.1,5.21,15.11
Wheat,Maharashtra,709.3,25.8,154.2,59.5,24.9,5.37,4.48,15.95
Maize,Madhya Pradesh,835.4,30.7,48.5,99.1,16.2,7.64,6.56,12.16
Maize,Maharashtra,964.7,20.2,163.1,67.2,16.3,6.71,5.25,15.12
Wheat,Maharashtra,515.2,25.9,180.9,39.6,30.5,6.12,7.75,14.93
Wheat,Maharashtra,546.5,29.7,77.4,70.8,62.9,6.24,4.18,12.86
Maize,Madhya Pradesh,364.5,22.1,164.0,91.0,58.5,5.52,6.37,14.01
Wheat,Madhya Pradesh,338.8,26.2,160.6,42.8,28.0,5.94,0.98,14.1
Rice,Bihar,536.5,24.4,180.0,34.8,24.1,6.09,5.23,15.76
Wheat,Punjab,547.2,20.4,171.2,38.9,31.0,7.18,8.92,17.22
Rice,West Bengal,2037.5,38.0,163.1,28.1,51.4,5.76,5.75,15.03
Rice,Maharashtra,847.9,26.1,75.1,87.9,23.7,5.13,4.73,15.59
Wheat,Bihar,814.8,15.3,167.0,48.2,44.2,6.13,5.51,13.97
Rice,Punjab,1930.0,27.8,101.0,89.9,19.8,6.42,8.58,17.33
Rice,West Bengal,1353.0,30.1,136.3,67.4,30.2,5.53,6.06,25.69
Rice,Punjab,1456.1,33.9,50.1,42.5,58.5,6.12,4.41,20.96
Maize,Maharashtra,867.2,29.1,166.2,81.2,48.4,7.53,5.61,13.71
Maize,West Bengal,786.2,32.5,40.1,96.1,39.4,6.51,4.78,15.45
Maize,Bihar,502.7,20.9,104.6,43.4,61.0,7.24,9.92,19.75
Rice,West Bengal,1190.8,42.6,79.6,88.1,59.3,5.38,8.26,16.49
Maize,Punjab,973.2,20.7,96.1,91.4,18.4,5.57,5.55,14.47
Maize,Bihar,891.1,16.8,161.0,38.4,34.1,7.6,6.0,12.62
Wheat,Maharashtra,490.5,28.3,91.5,55.8,15.1,5.81,4.9,16.69
Maize,Maharashtra,540.6,26.5,71.8,43.9,45.6,6.14,9.66,18.13
Maize,Punjab,769.3,28.0,89.6,98.3,57.6,6.44,1.07,17.12
Wheat,Uttar Pradesh,705.4,27.7,57.7,74.0,30.7,7.83,4.02,13.95
Maize,Bihar,694.0,29.3,165.4,49.6,41.9,6.64,8.5,17.07
Wheat,Punjab,655.5,22.7,165.7,53.6,23.1,5.78,8.54,16.11
Wheat,Punjab,287.1,31.0,181.8,71.1,45.2,7.55,9.02,12.8
Wheat,Bihar,766.9,22.6,181.1,32.7,17.7,7.32,3.29,12.91
Wheat,West Bengal,617.6,15.3,53.2,81.5,26.5,7.91,8.84,14.48
Rice,Bihar,1607.0,34.2,145.6,57.7,38.3,5.79,6.58,23.88
Rice,Bihar,684.0,19.9,173.1,88.4,45.4,5.61,8.42,13.62
Rice,Maharashtra,575.4,34.2,152.5,38.8,51.0,5.1,3.21,14.14
Rice,Punjab,1180.6,34.2,152.2,37.1,58.1,5.37,7.87,20.59
Maize,Bihar,430.6,19.6,181.2,60.7,20.1,7.65,2.81,16.18
Wheat,Madhya Pradesh,171.1,25.4,51.3,44.0,53.9,7.46,6.58,13.68
Rice,Punjab,939.1,35.9,156.4,35.8,40.9,4.78,2.54,18.83
Rice,Uttar Pradesh,1744.1,33.0,60.8,73.1,32.1,4.71,3.17,15.17
Maize,Uttar Pradesh,903.0,25.9,181.6,44.0,46.7,5.65,4.85,15.21
Wheat,Punjab,908.0,15.5,178.2,66.4,60.1,8.15,5.89,12.96
Maize,Bihar,645.3,15.8,62.7,100.0,39.2,7.16,2.46,16.84
Maize,Uttar Pradesh,372.0,29.8,83.3,27.6,64.7,5.59,1.26,11.95
Rice,West Bengal,571.3,33.0,76.5,58.5,30.3,5.38,5.95,16.31
Rice,Bihar,553.3,28.9,90.1,71.2,43.5,5.89,5.13,19.41
Rice,West Bengal,600.3,23.8,111.4,55.9,43.7,5.65,7.98,21.91
Maize,Uttar Pradesh,907.1,21.1,177.1,60.4,33.4,7.53,7.49,18.0
Wheat,Bihar,898.5,30.8,85.9,37.1,25.7,6.63,2.63,10.7
Rice,Uttar Pradesh,517.2,37.6,151.6,69.4,16.7,6.47,4.76,17.29
Rice,Punjab,1406.4,18.2,41.1,80.5,16.4,5.97,6.34,17.09
Rice,Madhya Pradesh,706.5,33.6,72.4,62.0,33.3,5.14,1.81,15.69
Maize,Punjab,508.5,33.0,85.9,73.7,40.5,7.51,2.05,18.19
Wheat,Punjab,832.2,21.4,79.3,32.2,27.9,7.56,3.58,11.73
Maize,Punjab,382.0,16.3,82.8,53.0,50.2,5.77,0.53,14.53
Maize,Bihar,314.3,19.8,68.7,25.1,28.1,7.69,3.7,10.95
Rice,Punjab,940.0,19.7,62.5,49.6,58.9,4.82,2.52,16.41
Rice,Punjab,1568.5,18.8,157.3,90.8,53.5,6.61,4.21,16.06
Maize,Punjab,1069.5,26.6,164.0,47.3,28.2,5.69,2.69,15.2
Maize,West Bengal,922.9,30.7,171.3,39.7,39.6,4.82,2.78,11.38
Rice,West Bengal,687.5,23.1,52.8,28.5,17.6,7.12,1.2,12.54
Rice,West Bengal,616.6,35.9,108.8,85.2,55.1,4.93,1.77,15.38
Wheat,Punjab,688.8,17.4,73.7,29.1,19.7,7.07,1.53,15.14
Wheat,Bihar,310.0,21.8,42.1,56.1,34.1,7.87,7.36,15.31
Wheat,West Bengal,331.8,22.6,40.2,39.6,47.5,6.53,1.88,15.17
Maize,Punjab,984.1,33.4,49.9,33.7,44.0,4.94,6.5,12.47
Rice,Bihar,567.3,33.5,114.7,52.3,49.3,4.72,3.07,18.78
Maize,Madhya Pradesh,872.5,26.4,94.7,88.6,61.3,6.98,9.51,17.99
Maize,Punjab,723.3,22.3,148.8,44.7,52.7,5.52,5.06,19.1
Rice,Punjab,2057.4,37.7,173.0,77.3,47.2,5.38,3.61,13.66
Rice,Maharashtra,654.9,34.1,163.4,66.9,15.8,7.08,1.83,13.27
Wheat,Maharashtra,475.2,18.6,166.7,58.1,60.1,7.39,3.84,16.82
Maize,Punjab,345.8,15.4,83.4,51.0,55.4,5.99,7.5,11.28
Wheat,Uttar Pradesh,636.8,13.5,53.6,38.4,45.0,8.03,7.9,15.69
Maize,Madhya Pradesh,1116.1,20.1,48.3,26.3,30.3,6.18,1.24,13.05
Maize,Bihar,585.6,32.8,162.1,60.1,15.3,7.62,0.6,15.67
Wheat,Punjab,682.3,29.8,128.3,26.8,64.5,8.17,4.95,12.91
Wheat,Uttar Pradesh,732.8,20.0,175.7,23.7,59.6,5.29,4.22,14.04
Wheat,Bihar,631.8,15.7,126.3,48.5,35.5,8.18,3.15,17.87
Maize,Uttar Pradesh,616.0,16.9,61.7,80.5,62.8,6.59,1.47,16.05
Wheat,Bihar,231.4,25.5,126.3,43.2,17.9,8.02,3.49,13.74
Rice,Punjab,1746.4,38.1,102.3,53.8,64.7,6.34,8.24,17.81
Maize,Madhya Pradesh,250.8,33.1,159.8,48.3,20.6,6.9,2.6,10.09
Maize,Uttar Pradesh,717.8,21.5,164.3,66.3,35.0,6.94,9.1,20.63
Rice,West Bengal,894.6,31.0,76.3,86.5,22.4,4.79,4.63,15.85
Wheat,Punjab,207.1,19.3,108.5,85.4,30.1,5.63,0.57,15.96
Wheat,Uttar Pradesh,253.7,23.2,157.5,29.6,60.4,6.23,4.54,13.02
Wheat,Maharashtra,198.9,17.6,110.3,41.5,51.9,7.38,9.73,16.53
Maize,West Bengal,581.3,15.5,165.0,76.0,57.0,6.02,2.63,17.21
Wheat,Punjab,700.5,16.6,113.6,43.6,53.5,5.81,9.44,18.33
Maize,Uttar Pradesh,534.3,24.6,69.2,79.5,26.9,5.73,1.15,17.5
Wheat,Uttar Pradesh,508.7,30.4,167.1,33.6,28.0,6.25,8.86,13.44
Wheat,Maharashtra,398.2,22.4,136.8,20.9,53.7,5.65,3.32,18.1
Maize,Punjab,682.0,19.8,72.8,60.6,48.0,6.21,2.98,16.14
Maize,Madhya Pradesh,647.7,15.7,104.8,88.0,44.2,7.46,7.31,17.44
Wheat,Uttar Pradesh,745.9,21.9,105.2,64.0,51.3,5.53,8.6,15.9
Rice,Punjab,1955.4,26.7,75.5,72.7,62.4,5.81,0.58,14.97
Wheat,Uttar Pradesh,216.1,12.7,79.3,75.2,30.5,6.58,6.74,13.03
Maize,West Bengal,601.3,19.4,148.2,31.0,41.9,5.55,2.46,18.56
Maize,Madhya Pradesh,894.8,27.4,77.6,51.5,30.0,7.68,2.25,13.57
Rice,Bihar,998.1,29.6,63.7,33.4,25.7,6.61,7.83,18.74
Rice,Bihar,1720.4,30.8,89.3,71.6,49.0,5.44,9.84,20.77
Rice,Bihar,1360.6,24.6,62.8,75.0,39.3,6.0,9.67,20.35
Maize,Bihar,898.1,24.7,67.0,93.0,52.0,7.19,2.74,15.79
Rice,Madhya Pradesh,1304.3,18.9,56.0,20.5,59.1,6.34,3.33,17.65
Maize,West Bengal,716.4,20.5,132.2,91.1,56.6,5.07,4.73,18.12
Wheat,Madhya Pradesh,842.7,17.5,71.9,74.8,25.8,8.24,4.49,12.61
Wheat,Bihar,647.7,17.0,54.8,68.8,30.3,7.83,9.23,17.29
Maize,Bihar,509.6,15.7,55.9,77.2,61.9,5.91,7.89,14.28
Maize,Punjab,760.6,15.8,181.6,59.8,24.5,6.0,6.23,16.12
Maize,Maharashtra,941.5,33.2,172.4,32.9,28.7,6.97,8.16,11.97
Maize,Madhya Pradesh,597.5,29.0,47.1,26.9,58.6,5.01,7.35,16.04
Rice,Punjab,1674.9,19.1,149.3,39.1,33.9,4.89,8.47,15.84
Wheat,Punjab,810.8,26.7,76.1,75.6,35.5,7.54,3.57,12.8
Wheat,West Bengal,557.5,14.5,79.4,24.6,46.8,7.17,8.47,17.5
Maize,West Bengal,896.8,27.2,160.4,86.2,38.7,4.89,9.14,15.05
Maize,West Bengal,911.1,30.3,109.4,33.6,31.0,7.67,7.3,14.23
Rice,Uttar Pradesh,643.7,38.8,140.1,57.7,33.1,6.33,8.22,19.18
Maize,Uttar Pradesh,1003.2,21.5,170.5,24.8,37.8,5.12,3.5,14.32
Wheat,Bihar,259.3,22.1,96.8,89.6,55.2,5.56,4.46,14.87
Rice,Madhya Pradesh,544.2,26.5,141.9,77.3,64.9,5.41,4.38,18.28
Maize,Madhya Pradesh,642.4,30.6,78.3,58.9,14.9,6.82,3.87,15.2
Maize,Madhya Pradesh,719.4,24.0,176.6,33.3,53.8,5.06,7.46,16.47
Rice,Maharashtra,1021.2,28.7,172.5,79.4,37.7,7.08,6.6,20.66
Rice,Maharashtra,1812.5,37.7,102.2,33.9,58.0,4.82,4.29,15.22
Wheat,Bihar,601.9,28.3,126.8,33.9,60.6,5.78,2.07,14.28
Maize,Punjab,696.9,30.4,146.6,29.1,31.3,6.25,8.13,16.1
Maize,West Bengal,682.8,31.1,43.3,100.6,49.7,4.72,7.2,16.72
Rice,Bihar,884.3,26.8,85.7,83.8,42.7,6.95,3.35,19.07
Rice,West Bengal,616.7,28.3,57.8,89.6,35.6,6.0,2.66,17.04
Maize,West Bengal,1087.2,24.5,73.4,37.9,62.4,7.37,7.54,12.55
Maize,Bihar,541.5,31.6,152.3,32.8,39.2,6.5,5.07,18.22
Maize,Uttar Pradesh,273.8,25.3,108.2,77.5,25.2,5.75,6.77,18.3
Rice,Maharashtra,598.0,33.7,126.2,89.0,33.1,4.84,5.61,16.85
Wheat,Maharashtra,469.1,13.9,69.9,80.1,32.5,7.67,5.0,14.21
Rice,West Bengal,1185.9,40.8,173.7,35.6,19.1,6.62,9.95,16.36
Maize,Madhya Pradesh,674.0,17.9,139.0,43.8,27.5,5.06,6.39,17.72
Wheat,Madhya Pradesh,662.6,16.5,178.5,60.5,40.4,6.37,1.8,17.9
Rice,West Bengal,1091.7,42.2,175.0,49.2,48.0,5.81,7.66,19.44
Rice,Maharashtra,988.3,29.8,64.1,76.6,27.3,5.05,2.84,18.61
Rice,Uttar Pradesh,699.6,19.5,123.7,21.7,23.2,6.21,6.77,15.7
Maize,West Bengal,272.9,22.1,134.7,70.0,47.2,6.08,3.04,18.49
Maize,Maharashtra,252.1,30.7,139.5,38.0,48.7,5.67,1.04,13.86
Maize,Punjab,867.1,20.5,47.7,37.5,46.1,4.95,5.6,16.2
Rice,Madhya Pradesh,619.8,24.5,174.4,47.2,47.1,7.09,5.73,15.23
Wheat,Punjab,498.3,12.7,57.9,40.0,53.1,7.4,2.45,14.59
Wheat,Uttar Pradesh,568.6,22.8,99.6,30.3,27.9,5.14,3.53,15.23
Rice,Bihar,1400.9,35.9,75.6,59.3,30.2,6.05,6.76,22.3
Maize,West Bengal,946.0,28.4,155.8,51.3,21.1,7.37,8.9,11.28
Wheat,Bihar,590.2,18.6,157.7,68.4,24.9,6.8,7.98,16.84
Rice,Bihar,1670.0,27.3,66.8,33.9,34.9,5.86,8.69,17.48
Wheat,Uttar Pradesh,568.8,28.1,157.0,32.7,46.0,7.83,8.13,16.0
Maize,Uttar Pradesh,941.3,33.0,81.3,98.5,55.7,7.36,1.07,11.67
Wheat,Uttar Pradesh,272.1,17.5,165.8,53.8,52.0,6.63,4.92,12.87
Rice,Maharashtra,1250.5,37.7,78.0,61.9,58.1,5.46,5.09,18.89
Maize,Madhya Pradesh,1052.1,28.5,148.0,42.7,51.5,5.9,1.06,15.0
Rice,Punjab,1479.2,36.8,74.5,82.2,33.4,5.35,2.35,18.32
Maize,Uttar Pradesh,449.8,27.5,81.8,48.8,33.2,7.64,4.87,14.42
Rice,Maharashtra,1251.1,43.5,61.3,79.0,16.6,5.86,8.92,17.72
Rice,Bihar,551.0,39.2,173.9,80.8,31.0,4.91,3.16,11.75
Maize,Maharashtra,778.4,26.9,98.4,26.9,32.7,6.21,9.53,18.06
Wheat,West Bengal,483.9,13.0,93.0,86.3,62.4,7.52,2.44,17.38
Wheat,Punjab,697.8,25.4,130.3,80.5,34.0,7.77,2.24,18.07
Rice,Madhya Pradesh,898.7,23.7,102.8,65.1,36.1,5.28,7.11,21.32
Wheat,Maharashtra,546.9,25.2,142.6,24.7,25.4,5.14,5.34,15.74
Maize,Uttar Pradesh,1106.8,23.8,153.3,47.0,56.3,7.17,3.04,14.36
Rice,Bihar,1917.5,34.7,118.3,85.3,47.4,6.3,8.52,19.35
Wheat,West Bengal,319.4,18.5,177.4,21.4,50.4,8.18,1.49,13.03
Maize,Bihar,922.2,18.7,137.3,64.3,30.3,5.37,7.88,16.86
Rice,Punjab,1476.3,22.5,170.6,27.3,14.4,6.79,7.19,15.7
Maize,West Bengal,792.2,18.5,83.5,66.6,59.0,7.09,3.37,16.89
Rice,Madhya Pradesh,1323.7,37.6,114.0,81.6,19.6,5.62,5.31,20.31
Maize,Punjab,915.5,30.5,65.0,97.8,45.7,6.29,6.88,13.48
Wheat,West Bengal,334.9,25.8,54.8,21.9,15.4,5.64,7.1,12.22
Rice,West Bengal,438.4,24.3,128.3,31.1,43.8,5.57,5.58,18.82
Rice,Bihar,1739.2,41.0,136.6,24.8,23.3,7.04,9.7,13.87
Wheat,Uttar Pradesh,468.4,27.9,146.1,57.7,26.7,7.6,8.73,17.02
Rice,Bihar,625.6,42.0,169.7,76.6,20.0,6.1,2.28,14.42
Rice,Bihar,1470.3,42.1,153.3,60.3,21.0,6.07,1.09,20.49
Maize,Madhya Pradesh,835.8,29.7,92.5,32.4,32.0,6.58,7.72,15.66
Rice,Punjab,1953.5,41.8,82.3,79.7,41.3,6.71,5.71,13.85
Maize,Bihar,309.0,27.6,60.6,70.8,20.4,6.81,3.21,13.96
Maize,Uttar Pradesh,842.0,21.0,59.9,99.8,58.6,5.05,3.95,15.45
Maize,Madhya Pradesh,975.0,32.7,178.5,42.1,39.3,7.37,7.03,12.79
Maize,Madhya Pradesh,666.2,32.3,46.8,97.5,63.8,5.15,4.59,16.01
Wheat,West Bengal,743.0,22.9,56.6,21.5,41.0,7.35,1.53,13.85
Wheat,West Bengal,394.4,23.6,93.8,69.5,31.8,5.1,1.39,17.03
Maize,Madhya Pradesh,473.8,26.9,69.8,79.7,35.9,5.27,2.78,18.59
Maize,West Bengal,413.6,17.6,89.1,92.7,62.3,5.17,2.7,12.58
Wheat,Maharashtra,490.5,29.3,122.1,55.3,48.8,5.85,1.11,19.95
Wheat,Maharashtra,881.9,16.1,60.6,30.9,59.7,5.42,3.73,11.28
Rice,Bihar,1561.1,42.5,157.7,39.7,16.7,7.0,9.4,14.8
Wheat,Punjab,507.5,29.8,63.3,33.0,44.4,5.95,2.26,15.52
Wheat,Bihar,541.6,21.9,170.3,88.8,43.8,7.61,6.53,17.21
Rice,Uttar Pradesh,1304.0,22.9,143.1,34.0,28.9,5.93,5.12,21.19
Wheat,Bihar,471.0,17.5,127.4,22.7,22.6,5.76,4.68,18.74
Wheat,Maharashtra,692.8,22.9,133.3,66.3,61.5,8.14,4.55,14.39
Maize,Punjab,539.7,15.7,84.2,96.8,29.3,5.35,9.44,15.34
Wheat,Madhya Pradesh,211.8,25.1,62.0,68.1,20.3,6.61,4.17,16.29
Wheat,Bihar,165.0,25.0,77.2,58.5,19.7,5.17,0.64,12.39
Maize,Uttar Pradesh,652.4,28.0,108.0,102.0,50.1,6.01,4.34,21.15
Maize,West Bengal,833.3,20.6,81.6,95.0,61.8,5.89,9.18,15.75
Maize,Punjab,470.1,24.0,157.4,94.0,25.3,5.7,8.45,15.7
Wheat,Madhya Pradesh,870.3,14.2,83.2,44.7,45.9,5.53,2.34,13.04
Maize,Bihar,216.3,17.9,41.4,55.7,42.3,5.16,6.58,12.26
Wheat,Punjab,224.6,24.0,140.1,31.2,32.6,5.24,5.79,13.0
Rice,Punjab,1457.1,24.8,104.0,79.3,48.1,6.06,8.91,23.84
Rice,West Bengal,453.8,41.6,141.8,64.4,41.2,6.08,6.57,16.67
Maize,Punjab,258.7,15.6,142.2,45.1,33.6,6.3,3.54,15.1
Rice,Madhya Pradesh,484.2,20.9,130.6,34.9,25.5,6.6,3.22,15.04
Maize,West Bengal,988.6,28.2,120.0,44.9,37.3,5.27,7.32,16.75
Maize,Uttar Pradesh,596.9,16.3,60.9,29.3,48.5,5.45,1.42,14.46
Maize,Uttar Pradesh,483.1,29.3,60.4,86.3,47.7,7.22,9.91,15.11
Rice,Punjab,649.0,32.2,93.3,58.3,19.5,7.03,9.11,17.38
Wheat,Madhya Pradesh,694.4,20.2,70.2,23.2,56.8,7.67,2.04,15.86
Maize,Uttar Pradesh,776.8,15.0,115.7,64.2,18.9,6.93,2.74,18.95
Maize,Maharashtra,1115.8,21.5,90.2,100.9,47.4,7.5,6.42,16.65
Maize,Madhya Pradesh,282.4,21.4,52.8,24.6,16.6,6.47,1.3,15.34
Wheat,Uttar Pradesh,862.9,30.4,176.4,78.1,37.6,5.76,4.14,11.93
Wheat,Maharashtra,791.7,20.5,160.2,56.1,53.9,7.37,3.03,14.33
Wheat,West Bengal,745.3,11.3,161.0,49.7,51.6,5.23,8.99,12.34
Maize,Madhya Pradesh,384.8,29.2,129.0,24.8,62.5,6.02,2.71,16.69
Wheat,Punjab,618.4,15.8,61.6,69.4,58.3,7.94,8.49,16.36
Wheat,Madhya Pradesh,799.5,25.3,43.2,24.9,54.5,6.29,6.85,13.67
Maize,Maharashtra,782.0,23.5,48.6,46.1,61.1,6.44,3.76,14.39
Maize,Punjab,379.4,24.8,151.5,92.5,52.3,7.35,6.24,14.85
Maize,Bihar,250.3,15.6,157.3,36.2,23.1,7.53,6.31,11.03
Rice,Madhya Pradesh,2028.4,25.1,60.0,20.4,57.7,6.81,1.41,13.75
Wheat,Punjab,197.9,25.2,172.7,43.5,53.8,7.4,9.79,12.96
Maize,Maharashtra,356.9,28.9,179.1,64.2,16.2,5.38,2.52,13.91
Maize,Maharashtra,474.6,23.4,132.3,33.7,40.7,5.01,8.67,17.67
Wheat,Maharashtra,708.2,16.4,131.5,52.0,61.3,8.19,7.85,16.08
Maize,Madhya Pradesh,435.6,17.5,127.4,65.0,54.0,5.56,2.64,15.38
Rice,Maharashtra,1600.6,19.6,106.7,22.0,48.5,5.53,9.52,18.44
Rice,Uttar Pradesh,1885.2,22.8,140.3,74.2,29.0,5.92,2.62,18.08
Maize,Madhya Pradesh,590.8,23.7,137.8,86.1,18.0,5.91,7.81,22.86
Rice,Uttar Pradesh,1109.5,17.6,120.2,70.0,42.7,6.39,0.5,24.24
Wheat,Bihar,499.5,19.2,126.1,71.4,59.7,5.96,6.49,19.71
Rice,Uttar Pradesh,956.7,27.5,137.4,41.1,62.4,6.94,5.07,21.31
